Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,0.25,0.005,0.0001
Mean Reversion,-0.37,-0.48,0.86,-0.5,1.09,0.42,6,-0.0063,PLUG,0.25,0.005,0.0005
Momentum,0.25,0.35,0.86,-0.14,24.49,0.43,13,-0.0113,PLUG,0.25,0.005,0.0005
Combined,-0.14,-0.09,0.35,-0.11,0.83,0.11,9,-0.011,PLUG,0.25,0.005,0.0005
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,0.25,0.005,0.0005
Mean Reversion,-0.21,-0.28,0.93,-0.47,1.09,0.39,7,-0.021,FUBO,0.25,0.005,0.0005
Momentum,0.07,0.09,0.96,-0.34,1.43,0.42,22,0.0081,FUBO,0.25,0.005,0.0005
Combined,-0.09,-0.04,0.3,-0.07,0.66,0.07,23,0.0045,FUBO,0.25,0.005,0.0005
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,0.25,0.005,0.0005
Mean Reversion,-0.75,-0.86,1.06,-0.75,1.65,0.41,6,0.0061,RIOT,0.25,0.005,0.0005
Momentum,0.67,1.07,1.07,0.18,25.91,0.43,14,0.0402,RIOT,0.25,0.005,0.0005
Combined,-0.13,-0.06,0.34,-0.1,0.72,0.06,14,0.0201,RIOT,0.25,0.005,0.0005
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,0.25,0.005,0.0005
Mean Reversion,-0.57,-0.77,0.62,-0.42,1.03,0.39,7,-0.0156,SOFI,0.25,0.005,0.0005
Momentum,0.29,0.37,0.62,-0.01,1.71,0.4,13,0.0256,SOFI,0.25,0.005,0.0005
Combined,-0.49,-0.19,0.17,-0.09,0.5,0.03,10,0.011,SOFI,0.25,0.005,0.0005
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,0.25,0.005,0.0005
Mean Reversion,0.09,0.12,1.04,-0.36,1.03,0.36,8,0.0087,BCLI,0.25,0.005,0.0005
Momentum,-0.43,-0.44,1.05,-0.65,3.39,0.42,19,-0.02,BCLI,0.25,0.005,0.0005
Combined,-0.58,-0.18,0.28,-0.18,0.8,0.05,12,-0.009,BCLI,0.25,0.005,0.0005
Buy & Hold,0.08,0.1,1.05,-0.4,5.1,0.44,-,-,BCLI,0.25,0.005,0.0005
Mean Reversion,0.35,0.39,1.06,-0.22,3.88,0.41,4,0.0199,SNDL,0.25,0.005,0.0005
Momentum,0.07,0.07,1.08,-0.61,3.66,0.4,11,-0.0048,SNDL,0.25,0.005,0.0005
