Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,0.5,0.03,0.0005
Mean Reversion,-0.43,-0.6,0.3,-0.16,0.99,0.4,21,0.0084,GOOGL,0.5,0.03,0.0005
Momentum,-0.66,-0.9,0.31,-0.22,1.21,0.49,111,-0.0018,GOOGL,0.5,0.03,0.0005
Combined,-0.98,-0.75,0.17,-0.17,0.91,0.11,106,-0.0027,GOOGL,0.5,0.03,0.0005
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,0.5,0.03,0.0005
Mean Reversion,-1.07,-1.44,0.5,-0.48,1.09,0.4,13,0.0104,NVDA,0.5,0.03,0.0005
Momentum,0.66,1.02,0.52,0.23,2.39,0.51,151,0.0045,NVDA,0.5,0.03,0.0005
Combined,-0.34,-0.29,0.33,-0.15,0.8,0.14,140,-0.0012,NVDA,0.5,0.03,0.0005
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,0.5,0.03,0.0005
Mean Reversion,0.05,0.07,0.33,-0.04,0.89,0.44,46,0.0054,AMZN,0.5,0.03,0.0005
Momentum,0.03,0.05,0.34,-0.04,0.7,0.48,118,0.0032,AMZN,0.5,0.03,0.0005
Combined,0.16,0.14,0.2,0.01,0.61,0.14,129,0.0031,AMZN,0.5,0.03,0.0005
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,0.5,0.03,0.0005
Mean Reversion,-0.52,-0.69,0.19,-0.11,0.56,0.38,17,-0.0045,SPY,0.5,0.03,0.001
Momentum,0.08,0.1,0.2,-0.0,0.66,0.52,60,0.0017,SPY,0.5,0.03,0.001
Combined,-0.5,-0.36,0.09,-0.05,0.43,0.07,63,-0.0004,SPY,0.5,0.03,0.001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,0.5,0.03,0.001
